energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
0.757,0.0885,159.945,0.144,0.291,0.0,4,0.662,5,233293,-6.818,0.962,0
0.886,0.0826,97.012,0.0431,0.185,0.0,4,0.673,1,216773,-4.44,0.795,0
0.876,0.327,99.943,0.1,0.0735,0.0,4,0.624,9,170827,-3.374,0.781,1
0.454,0.0824,133.073,0.375,0.0194,0.0,4,0.935,1,187541,-7.509,0.357,1
0.314,0.0825,110.898,0.244,0.11,0.0,4,0.671,5,191600,-8.091,0.296,0
0.658,0.111,140.042,0.079,0.25,0.0,4,0.8,1,195429,-6.142,0.462,0
0.552,0.104,97.949,0.097,0.0765,0.334,4,0.596,0,229320,-10.278,0.112,0
0.758,0.305,144.033,0.0381,0.0422,0.0,4,0.773,1,224840,-4.993,0.925,1
0.646,0.108,176.088,0.319,0.152,1.81e-05,4,0.756,7,242573,-5.795,0.429,1
0.554,0.132,99.034,0.0383,0.207,0.0,4,0.774,0,162547,-7.909,0.349,1
0.766,0.366,144.836,0.449,0.0278,1.71e-06,4,0.576,10,246761,-4.943,0.236,0
0.786,0.38,150.028,0.091,0.26,0.0,4,0.706,0,199387,-3.417,0.751,0
0.877,0.233,107.991,0.0664,0.0375,0.000833,4,0.747,9,166138,-3.782,0.752,0
0.741,0.312,123.077,0.034,0.0275,0.0,4,0.646,5,203000,-4.973,0.571,0
0.633,0.0926,96.782,0.0599,0.0612,0.000195,4,0.695,8,232187,-4.946,0.557,1
0.622,0.116,102.04,0.0622,0.253,0.0,4,0.69,5,210091,-5.025,0.544,0
0.616,0.105,99.962,0.0645,0.378,0.0,4,0.728,4,181880,-4.238,0.508,1
0.661,0.0454,104.504,0.0572,0.0302,0.0,4,0.949,5,284200,-4.244,0.76,0
0.824,0.405,100.024,0.0707,0.284,0.0,4,0.778,10,218093,-5.892,0.758,0
0.559,0.385,129.992,0.0767,0.125,0.0,1,0.782,6,188344,-7.106,0.685,0
0.655,0.115,95.078,0.137,0.0525,0.0,4,0.715,0,207333,-6.425,0.531,1
0.54,0.261,137.972,0.0576,0.0895,0.0,4,0.584,1,220883,-7.786,0.195,0
0.726,0.318,103.98,0.155,0.00728,0.0,4,0.625,10,311867,-7.731,0.483,0
0.586,0.193,120.97,0.0377,0.162,2.03e-06,4,0.799,11,227833,-6.735,0.549,1
0.428,0.114,100.007,0.206,0.149,5.05e-05,4,0.88,9,172800,-8.28,0.333,1
0.593,0.307,134.165,0.0356,0.165,0.0,3,0.461,1,228373,-4.954,0.174,1
0.795,0.0717,79.028,0.0504,0.0417,0.000113,4,0.801,1,163253,-5.115,0.754,0
0.663,0.0994,102.0,0.0281,0.228,0.0,4,0.651,0,259453,-5.569,0.465,0
0.52,0.222,102.998,0.0656,0.447,1.97e-06,4,0.741,8,171030,-7.513,0.347,1
0.492,0.128,120.151,0.0276,0.0644,0.00428,4,0.828,0,257800,-9.744,0.789,1
0.963,0.139,129.992,0.0981,0.0295,0.0,4,0.581,11,204160,-4.087,0.788,1
0.909,0.119,93.372,0.0707,0.0891,9.7e-05,4,0.585,8,210747,-6.474,0.758,1
0.415,0.0616,114.145,0.0639,0.401,0.0,4,0.728,8,176320,-6.852,0.455,1
0.802,0.0931,144.015,0.0878,0.468,0.0,4,0.737,0,172325,-4.771,0.682,1
0.913,0.156,115.728,0.133,0.061,0.00158,4,0.574,6,208400,-4.793,0.423,0
0.598,0.1,109.998,0.0617,0.0798,5.47e-06,4,0.8,5,199849,-5.131,0.422,0
